,no_of_likes,no_of_images,title,listing_price,item_condition,deal_method,post_date,category_type,post_type,condition_subtext,listing_description,mailing_option,delivery_options,mail_speed,meetup_option,meetup_location,seller_id,seller_join_date,seller_response,seller_verif,verified_by_email,verified_by_facebook,verified_by_mobile,seller_stars_rating,reviews_of_seller,url
0,4 likes,6 images,"Specialized Allez Sport - Year 2020, Size 52","2,200",Lightly used,Meetup,2 days ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","> 2020 SPECIALIZED ALLEZ SPORTS
> NO SCRATCHES, SPARE BIKES
> CONDITION 9.5/10
> SIZE 52
> WEIGHT: 8KG

SPECS :
> Full 105 R7020 SHIMANO GROUPSET
> TEKTRO RIM BRAKES
> CARBON AERO HANDLEBAR
> CARBON (55MM) WHEELS
> SPECIALISED POWER SADDLE
> CARBON SEATPOST & FORK
> SHIMANO 105 CLIPLESS PEDALS
> NEW BLACK BARTAPE 
> MAGNET BOTTLE CAGE

> EXCELLENT FOR DAY-TO- DAY AND WEEKEND RACES
> REASON FOR SELLING: MOVING HOUSE SPACE CONSTRAINTS",N,NA,NA,Y,Bakau LRT Station (SE3),tcw.jason,Joined 6 years ago,Mostly Responsive,Verified,1,0,1,5.0,17,https://www.carousell.sg/p/specialized-allez-sport-year-2020-size-52-1243118563/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=XqeXk3TZVZ-EbjJg&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=16
1,14 likes,3 images,Giant OCR,500,Well used,Meetup,1 week ago,Road Bikes,Posted,Has minor flaws or defects.,"M size
claris Shifters, FD, RD
Mavic Cosmic wheelset",N,NA,NA,Y,Bendemeer Light,jktay,Joined 8 years ago,Very Responsive,Verified,1,1,1,5.0,7,https://www.carousell.sg/p/giant-ocr-1242058721/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=wrjDhRbQu5l5UafY&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=560
2,2 likes,3 images,Java CL Carbon Mini Velo,825,Like new,Mailing · Meetup,4 days ago,Road Bikes,Posted,Used once or twice. As good as new.,"I am selling my Java CL Carbon Mini Velo Bicycle, which offers a unique blend of speed, agility, and style. This compact bike is perfect for urban commuting or zipping through city streets with ease.

Key Features:

Frame: Lightweight and durable carbon frame that provides excellent vibration damping and enhances overall responsiveness

Speed Options: 18-speed configuration that suits your riding style and terrain preference

I am including official accessories with this bicycle:
- TOSEEK T800 Carbon Bottle Cage
- SELLE ROYAL Comfort Saddle for added comfort during long rides
- Convenient 20” Quick Release Bike Kickstand for easy parking
- CST Tube 406/451 for reliable tire maintenance.

The Java CL Carbon Mini Velo Bicycle is in excellent condition and has been well-maintained. It is perfect for riders who appreciate a compact and agile bike without compromising on performance. 

Please feel free to contact me if you have any questions or would like to arrange a viewing.",Y,Same day delivery S$12,Within 1 working day,Y,Kallang MRT Station (EW10),tech_gurusg,Joined 9 years ago,Mostly Responsive,Verified,1,1,1,5.0,186,https://www.carousell.sg/p/java-cl-carbon-mini-velo-1242784163/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=usBQjKnNoP0k5LsI&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=219
3,Like,6 images,"Eurobike XC 540 3×7 speed,",330,Lightly used,Meetup,2 days ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Road bike kept in good condition
lightly used  due to hectic work schedule.
accessories included : Side stand, seat cover, watter bottle stand, both mud flaps!",N,NA,NA,Y,Hazel Park TerraceNear Cashew MRT( 5 mins walk to Condo) Hazel Park Condominium,nskhati,Joined 5 years ago,NA,Verified,1,1,1,4.9,53,https://www.carousell.sg/p/eurobike-xc-540-3×7-speed-1243047550/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=UtvBMiLOA9UC6cr6&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=59
4,9 likes,7 images,Polygon Hybrid Bicycle,500,Lightly used,Mailing,1 week ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Lightly used bike
Was often put at balcony, often cleaned and always put in shady area
Rode less than 15 times
Bought for $1200, accessories also cost $50 plus extra
Now selling at a low cost to make space for my balcony
No air on wheels, need to pump
Brake fluids recently bleed
Comes with additional pouches as shown in picture 
Price not included bicycle stand
Bicycle stand already purchase by other buyer 
Welcome to have a look at my place at Sengkang 797460",Y,Standard delivery S$30,3 - 4 working days,N,NA,starfish100,Joined 7 years ago,Very Responsive,Verified,1,1,1,5.0,227,https://www.carousell.sg/p/polygon-hybrid-bicycle-1241819646/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=TIymlxr_zUgvZFmg&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=712
5,Like,1 image,"Lady bicycle Ladies bike Single Speed Women men Road bike with child seat baby seat 26"" 27.5 seat kid children rack Put 20"" baby seat food 29 inch child 16"" bag thermal mesh delivery 24"" lady adult WHATSAPP 89501850",210,Brand new,Mailing,4 weeks ago,Road Bikes,Posted,Never used. May come with original packaging or tag.,"BRAND NEW IN BOX!! LIMITED STOCKS!!!! 
Self assembly, Toolkit provided

FREE DELIVERY 1-5 Days
SAME DAY DELIVERY +$30

For fast reply, please whatsapp 8950 1850 for purchase.

✅ Shopee, Search for """"singaporesales"""" 
✅ Official Website:   www.dashlab.sg
We accept Caroupay | ShopeePay | Paylah! | Paynow | ShopPay | GooglePay | ApplePay | CreditCard  
✅ For Paylah/Paynow to 8950 1850 (Wen) 



➡️ Single Speed Gear
➡️ 26"""" Weel 
With back child seat

🛠️Bicycle in box Self installation

Please whatsapp for inquiry 😊
🤙
🤙 wa.me/6589501850
🤙 wa.me/6589501850
🤙 

You can also visit 
➡️  www.dashlab.sg for purchase or more products.

We also sell bicycle accessories package: phone holder, lock, bottle holder, led light, bell, pump, frame bag.

FOR FOOD DELIVERY:
Can also add Rear Rack / Metal Rack Behind

CAN ALSO ADD
Front child seat & Back child seat

GO TO WEBSITE FOR MORE ACCESSORIES PHOTOS:
 dashlab.sg/collections/accessories-child-seat",Y,Standard delivery S$10,3 - 4 working days,N,NA,kinbay,Joined 2 years ago,Not Responsive,Verified,1,0,1,3.0,3,https://www.carousell.sg/p/lady-bicycle-ladies-bike-single-speed-women-men-road-bike-with-child-seat-baby-seat-26-27-5-seat-kid-children-rack-put-20-baby-seat-food-29-inch-child-16-bag-thermal-mesh-delivery-24-lady-adult-whatsapp-89501850-1238117245/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=abGZHdoP3ZocCohv&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2030
6,28 likes,5 images,"Cervelo P5X tt bike, road bike triathlon bike with power meter","16,000",Like new,Meetup,23 hours ago,Road Bikes,Bumped,Used once or twice. As good as new.,"This week special @ $16000
Usual price @$19500
Limited Edition Cervelo P5X (BIKE buy from local not like other Ads need import) 
Cervelo is no longer producing this super bike. 
Price is for Complete Bike . 
Size M (SRAM-etap). (Red etap)
Quarq Dzero Power meter. 
All the extras.
What you see is what you get . 
One careful owner and bought from / serviced at Bike & Bytes. 
Full bike with all the extras. 
Full service just done at BikenBites . Brand New Conti tyres and brand new Enve wheel. 
Use only 3 times for this bike.
Serious enquiries only. 
No time wasters (make viewing and never come) will be ignore.
WhatsApp number exchange a must. 
All viewing in the evening.",N,NA,NA,Y,SingaporeAdmiralty,sdm.co,Joined 3 years ago,Very Responsive,Verified,1,1,1,4.9,36,https://www.carousell.sg/p/cervelo-p5x-tt-bike-road-bike-triathlon-bike-with-power-meter-1239288700/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=VioJffVBl_pqBZeY&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=453
7,1 like,7 images,WTS/WTT Scott Speedster 20 (Size 56),"2,000",Like new,Meetup,2 days ago,Road Bikes,Posted,Used once or twice. As good as new.,"Bought from KH Cycle! But I prefer mountain bike after few rides. 

I’m looking to sell or Trade with a Full suspension mountain bike. 

Size 56 ( I’m 178cm) Large

_____________________________________________________________________


FRAME

Speedster Disc / 6061 D.Butted Alloy
Endurance geometry / int. cable routing
Syncros fender kit ready
FORK

Speedster HMF Disc
1 1/4”-1 1/2” Eccentric Carbon steerer
REAR DERAILLEUR

Shimano Tiagra RD-4700-GS
20 Speed
FRONT DERAILLEUR

Shimano Tiagra FD-4700
SHIFTERS

Shimano Tiagra ST-4700
Dual control 20 Speed
CRANKSET

FSA CK-4003ST/WT(S10) 50-34
BB-SET

Shimano BB-RS500-PB
CHAIN

KMC X10
CASSETTE

Shimano CS-HG500
10 Speed 11-32 T
BRAKES

Shimano BR-RS305 Black Mech.Disc
ROTOR

Shimano SM-RT64 rotor 160/F and 160/R
HANDLEBAR

Syncros Creston 2.0 Compact
31.8mm
H’STEM

Syncros RR2.5
1 1/4” / four Bolt 31.8mm
SEATPOST

Syncros RR2.5 27.2/350mm
SEAT

Syncros Tofino Regular 2.5
HEADSET

Acros AIF-1113
HUB (FRONT)

Formula Team II CL Disc 28 H
HUB (REAR)

Formula Team II CL Disc 28 H
SPOKES

Black 2mm
RIMS

Syncros Race 24 Disc
28 Front / 28 Rear
FRONT TIRE

Schwalbe Lugano
700x32C
REAR TIRE

Schwalbe Lugano
700x32C
APPROX WEIGHTS IN KG

10.40",N,NA,NA,Y,Cashew MRT Station (DT2),rizeal,Joined 1 year ago,Very Responsive,Verified,1,0,1,5.0,10,https://www.carousell.sg/p/wts-wtt-scott-speedster-20-size-56-1243080734/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=XqeXk3TZVZ-EbjJg&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=43
8,3 likes,1 image,Giant TC ADVANCE 3 DISC,"1,600",Lightly used,Meetup,1 week ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","年初购入，因为要回🇨🇳，忍痛转让
尺寸M，附赠打气筒，前后灯，Giant头盔，水杯架，手机支架",N,NA,NA,Y,Prestige heights,zhaoyichen82949,Joined 1 month ago,Not Responsive,Verified,1,0,1,NA,NA,https://www.carousell.sg/p/giant-tc-advance-3-disc-1242119597/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=jqqPo8HDEMnyZD8m&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=524
9,1k likes,6 images,🔥INSTOCKS🔥 26 inch single speed with Black Rim Wheel Bicycle Free Wheel with coaster brake | bike / Bicycle | Road Bicycle / Road Bike [1-3 Days Delivery] .☎️WhatsApp 82998491☎️.💥 Goodmansg / Goodman / Good 💥,160,Brand new,Mailing,2 hours ago,Road Bikes,Bumped,Never used. May come with original packaging or tag.,"VISIT US AT OUR OFFICIAL WEBPAGE:

",Y,Standard delivery Free,3 - 4 working days,N,NA,goodmansg,Joined 2 years ago,Very Responsive,Verified,1,0,1,5.0,538,https://www.carousell.sg/p/🔥instocks🔥-26-inch-single-speed-with-black-rim-wheel-bicycle-free-wheel-with-coaster-brake-bike-bicycle-road-bicycle-road-bike-1-3-days-delivery-☎️whatsapp-82998491☎️-💥-goodmansg-goodman-good-💥-1067389186/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=XqeXk3TZVZ-EbjJg&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=22
